topology,noise_rate,replicate,batc
Bifurcating,2.0,8,0.6347453178371784
Bifurcating,2.0,9,0.5342266719216776
Bifurcating,2.0,10,0.669504549144482
Bifurcating,2.5,1,0.66783778447654
Bifurcating,2.5,2,0.5439512779636998
Bifurcating,2.5,3,0.6639324557054905
Bifurcating,2.5,4,0.5196740876800178
Bifurcating,2.5,5,0.6800893504313212
Bifurcating,2.5,6,0.6772021900798747
Bifurcating,2.5,7,0.6059500465295019
Bifurcating,2.5,8,0.6923280173552728
Bifurcating,2.5,9,0.5993684711480968
Bifurcating,2.5,10,0.6264462082165531
Bifurcating,3.0,1,0.5146187972527444
Bifurcating,3.0,2,0.6885267340550356
Bifurcating,3.0,3,0.6075778837402853
Bifurcating,3.0,4,0.6980335278692321
Bifurcating,3.0,5,0.6479575947960514
Bifurcating,3.0,6,0.6864636936147054
Bifurcating,3.0,7,0.6304568013221753
Bifurcating,3.0,8,0.6094507872092855
Bifurcating,3.0,9,0.6453043602520643
Bifurcating,3.0,10,0.688102018500814
Bifurcating,3.5,1,0.5971769464975755
Bifurcating,3.5,2,0.7075929789613059
Bifurcating,3.5,3,0.669170051354507
Bifurcating,3.5,4,0.6377811976420348
Bifurcating,3.5,5,0.6848482635641366
Bifurcating,3.5,6,0.5356794767983917
Bifurcating,3.5,7,0.584921030880113
Bifurcating,3.5,8,0.6440378664127389
Bifurcating,3.5,9,0.577689314961327
Bifurcating,3.5,10,0.6167895984604597
Bifurcating,4.0,1,0.6224939602510243
Bifurcating,4.0,2,0.6896882329112132
Bifurcating,4.0,3,0.6821631611614932
Bifurcating,4.0,4,0.6564036276210863
Bifurcating,4.0,5,0.6691785695004903
Bifurcating,4.0,6,0.6442783492665055
Bifurcating,4.0,7,0.5274215999886215
Bifurcating,4.0,8,0.6692074109253662
Bifurcating,4.0,9,0.6185013321137275
Bifurcating,4.0,10,0.6915849592830137
Bifurcating,4.5,1,0.5388262324421722
Bifurcating,4.5,2,0.5868156898004158
Bifurcating,4.5,3,0.653450728141097
Bifurcating,4.5,4,0.5341625773485587
Bifurcating,4.5,5,0.49424021395153916
Bifurcating,4.5,6,0.5245864796963213
Bifurcating,4.5,7,0.5019610588893477
Bifurcating,4.5,8,0.5715507264369638
Bifurcating,4.5,9,0.6646939136002513
Bifurcating,4.5,10,0.5298472479386599
Bifurcating,5.0,1,0.6864146072631756
Bifurcating,5.0,2,0.5799536269983221
Bifurcating,5.0,3,0.567391774415029
Bifurcating,5.0,4,0.6030385936419222
Bifurcating,5.0,5,0.6146310299806937
Bifurcating,5.0,6,0.6423166607951715
Bifurcating,5.0,7,0.5688926010316613
Bifurcating,5.0,8,0.6575232967817789
Bifurcating,5.0,9,0.6526560618067792
Bifurcating,5.0,10,0.6880128061806002
Trifurcating,1.0,1,0.63003947048726
Trifurcating,1.0,2,0.6054950290392642
Trifurcating,1.0,3,0.6170996421392125
Trifurcating,1.0,4,0.5635622777607948
Trifurcating,1.0,5,0.6212703456039391
Trifurcating,1.0,6,0.5241009823448562
Trifurcating,1.0,7,0.6211171697472434
Trifurcating,1.0,8,0.6143931505264314
Trifurcating,1.0,9,0.6189806205818145
Trifurcating,1.0,10,0.5791195864084202
Trifurcating,1.5,1,0.619398864046346
Trifurcating,1.5,2,0.6139304402255129
Trifurcating,1.5,3,0.6229638616696397
Trifurcating,1.5,4,0.5086962693627678
Trifurcating,1.5,5,0.6180003253730283
Trifurcating,1.5,6,0.6192243178521879
Trifurcating,1.5,7,0.5813168358959134
Trifurcating,1.5,8,0.6027379215222864
Trifurcating,1.5,9,0.5771649365668043
Trifurcating,1.5,10,0.6186320300335532
Trifurcating,2.0,1,0.5778160315660749
Trifurcating,2.0,2,0.60854543169984
Trifurcating,2.0,3,0.6968625312184427
Trifurcating,2.0,4,0.5848490601998863
Trifurcating,2.0,5,0.6139824874058878
Trifurcating,2.0,6,0.6048547949650744
Trifurcating,2.0,7,0.6004122068155925
Trifurcating,2.0,8,0.5941626303201701
Trifurcating,2.0,9,0.5353223191103181
Trifurcating,2.0,10,0.612355175505163
Trifurcating,2.5,1,0.5797365573625727
Trifurcating,2.5,2,0.6013448162394338
Trifurcating,2.5,3,0.6346105214560324
Trifurcating,2.5,4,0.5979402233691579
Trifurcating,2.5,5,0.6485444172425131
Trifurcating,2.5,6,0.5693389381625799
Trifurcating,2.5,7,0.5883107864705664
Trifurcating,2.5,8,0.5704954166306219
Trifurcating,2.5,9,0.6216886489692923
Trifurcating,2.5,10,0.5921776228728084
Trifurcating,3.0,1,0.6160392644761599
Trifurcating,3.0,2,0.5467952988122842
Trifurcating,3.0,3,0.6019555673297035
Trifurcating,3.0,4,0.6131360567553623
Trifurcating,3.0,5,0.530429177093023
Trifurcating,3.0,6,0.5903271970830024
Trifurcating,3.0,7,0.6301631298288157
Trifurcating,3.0,8,0.6100480830832399
Trifurcating,3.0,9,0.49047167271839215
Trifurcating,3.0,10,0.6190941449138809
Trifurcating,3.5,1,0.6011489357902884
Trifurcating,3.5,2,0.5113906578685409
Trifurcating,3.5,3,0.48239257307253
Trifurcating,3.5,4,0.5826068042471408
Trifurcating,3.5,5,0.599438279917919
Trifurcating,3.5,6,0.6047985824275177
Trifurcating,3.5,7,0.633241012969248
Trifurcating,3.5,8,0.6187110595405715
Trifurcating,3.5,9,0.6359510192796507
Trifurcating,3.5,10,0.6308782490113148
Trifurcating,4.0,1,0.5773646535366701
Trifurcating,4.0,2,0.6064982032568685
Trifurcating,4.0,3,0.6291908315458163
Trifurcating,4.0,4,0.5993504842257785
Trifurcating,4.0,5,0.5428789330118147
Trifurcating,4.0,6,0.5841621164166505
Trifurcating,4.0,7,0.6310161369493026
Trifurcating,4.0,8,0.44686124356981294
Trifurcating,4.0,9,0.5629174162710724
Trifurcating,4.0,10,0.6038150108029633
Trifurcating,4.5,1,0.6150438370630238
Trifurcating,4.5,2,0.6078301462665916
Trifurcating,4.5,3,0.5924868851401766
Trifurcating,4.5,4,0.6209121259167576
Trifurcating,4.5,5,0.5841291994762131
Trifurcating,4.5,6,0.5996795397084967
Trifurcating,4.5,7,0.5920294029332439
Trifurcating,4.5,8,0.6226562876824961
Trifurcating,4.5,9,0.6259740866209683
Trifurcating,4.5,10,0.6130284493812915
Trifurcating,5.0,1,0.6222270574139437
Trifurcating,5.0,2,0.6218930245273857
Trifurcating,5.0,3,0.6183892785838017
Trifurcating,5.0,4,0.6078383201071169
Trifurcating,5.0,5,0.5604417883875765
Trifurcating,5.0,6,0.6245133731157836
Trifurcating,5.0,7,0.5942536101508609
Trifurcating,5.0,8,0.6324853387612286
Trifurcating,5.0,9,0.6199790700286721
Trifurcating,5.0,10,0.6252985189107948
Quadrifurcating,1.0,1,0.555269694742755
Quadrifurcating,1.0,2,0.44014255152197745
Quadrifurcating,1.0,3,0.5537764299356632
Quadrifurcating,1.0,4,0.542082944978834
Quadrifurcating,1.0,5,0.4884356946754799
Quadrifurcating,1.0,6,0.5708394518474095
Quadrifurcating,1.0,7,0.5250334524451508
Quadrifurcating,1.0,8,0.43170858282685176
Quadrifurcating,1.0,9,0.3813861259973451
Quadrifurcating,1.0,10,0.5459180258296592
Quadrifurcating,1.5,1,0.5303074517117617
Quadrifurcating,1.5,2,0.4913558126316712
Quadrifurcating,1.5,3,0.5519760346385094
Quadrifurcating,1.5,4,0.5121643133271464
Quadrifurcating,1.5,5,0.5513740568807604
Quadrifurcating,1.5,6,0.5347973405176214
Quadrifurcating,1.5,7,0.4484630088233103
Quadrifurcating,1.5,8,0.5510552814930296
Quadrifurcating,1.5,9,0.5179989225337763
Quadrifurcating,1.5,10,0.5409570337564653
Quadrifurcating,2.0,1,0.4217975554549598
Quadrifurcating,2.0,2,0.5390574965591985
Quadrifurcating,2.0,3,0.5140415039091059
Quadrifurcating,2.0,4,0.5378311065467511
Quadrifurcating,2.0,5,0.5327048662493552
Quadrifurcating,2.0,6,0.5246671382480605
Quadrifurcating,2.0,7,0.48725531639380065
Quadrifurcating,2.0,8,0.5122225078040712
Quadrifurcating,2.0,9,0.429521311493435
Quadrifurcating,2.0,10,0.4647392454325763
Quadrifurcating,2.5,1,0.5332463615582514
Quadrifurcating,2.5,2,0.5018400253093243
Quadrifurcating,2.5,3,0.5686025527970832
Quadrifurcating,2.5,4,0.5316675504224446
Quadrifurcating,2.5,5,0.5372761397074997
Quadrifurcating,2.5,6,0.5581017422117915
Quadrifurcating,2.5,7,0.5624758749503803
Quadrifurcating,2.5,8,0.5445478371979409
Quadrifurcating,2.5,9,0.4587992017136147
Quadrifurcating,2.5,10,0.5404236341292048
Quadrifurcating,3.0,1,0.44793370191536414
Quadrifurcating,3.0,2,0.5472421549925588
Quadrifurcating,3.0,3,0.4181985620399625
Quadrifurcating,3.0,4,0.5090084528181354
Quadrifurcating,3.0,5,0.4760162973232559
Quadrifurcating,3.0,6,0.3999466759395736
Quadrifurcating,3.0,7,0.5586535440888226
Quadrifurcating,3.0,8,0.5008317533450781
Quadrifurcating,3.0,9,0.5445268227014576
Quadrifurcating,3.0,10,0.47174461914706656
Quadrifurcating,3.5,1,0.5131595809371909
Quadrifurcating,3.5,2,0.44683367739228175
Quadrifurcating,3.5,3,0.5594277414191411
Quadrifurcating,3.5,4,0.537634878436827
Quadrifurcating,3.5,5,0.546580253991316
Quadrifurcating,3.5,6,0.5310464671587515
Quadrifurcating,3.5,7,0.5288308465901654
Quadrifurcating,3.5,8,0.6020941221439101
Quadrifurcating,3.5,9,0.5468783241959065
Quadrifurcating,3.5,10,0.5355239680786152
Quadrifurcating,4.0,1,0.5285050780493321
Quadrifurcating,4.0,2,0.5474884793052358
Quadrifurcating,4.0,3,0.53456633951355
Quadrifurcating,4.0,4,0.5399016157218861
Quadrifurcating,4.0,5,0.48274917894251934
Quadrifurcating,4.0,6,0.4684672537213888
Quadrifurcating,4.0,7,0.5849330001090044
Quadrifurcating,4.0,8,0.5313383164540336
Quadrifurcating,4.0,9,0.5230267948959486
Quadrifurcating,4.0,10,0.4479790748322838
Quadrifurcating,4.5,1,0.5267756057455105
Quadrifurcating,4.5,2,0.568365164481424
Quadrifurcating,4.5,3,0.5529110686554071
Quadrifurcating,4.5,4,0.5688611763813274
Quadrifurcating,4.5,5,0.5340122969263659
Quadrifurcating,4.5,6,0.5338974965204439
Quadrifurcating,4.5,7,0.48091110321456
Quadrifurcating,4.5,8,0.5486965067253682
Quadrifurcating,4.5,9,0.5306237581584392
Quadrifurcating,4.5,10,0.5501888991471628
Quadrifurcating,5.0,1,0.531135342182303
Quadrifurcating,5.0,2,0.54329513707049
Quadrifurcating,5.0,3,0.5441539695021848
Quadrifurcating,5.0,4,0.5752717905982272
Quadrifurcating,5.0,5,0.5352838366245978
Quadrifurcating,5.0,6,0.45523257574279247
Quadrifurcating,5.0,7,0.5362449414064635
Quadrifurcating,5.0,8,0.4478383871599374
Quadrifurcating,5.0,9,0.5447934155868118
Quadrifurcating,5.0,10,0.5350457902460669
