method,gene,truth_cosine,predicted_cosine,predicted_cosine_range_matched,truth_label,predicted_label
GRAVITY,CENPW,-0.065649067,0.07789006999132161,0.06658678950879837,Neutral,Neutral
GRAVITY,NEDD1,-0.737209919,-0.38240202700781606,-0.5084112530322994,Destabilizing,Destabilizing
GRAVITY,IRS1,0.61275691,-0.2821231986005374,-0.38314268896523507,Cooperative,Neutral
GRAVITY,NEMP1,-0.466625908,-0.29536630041885814,-0.3996860049864118,Neutral,Neutral
GRAVITY,BTG3,-0.318635995,-0.2315744548864231,-0.3199970714801237,Neutral,Neutral
GRAVITY,ARHGAP11A,-0.581656822,-0.2669775761070997,-0.3642227393428773,Destabilizing,Neutral
GRAVITY,CAMKK2,0.524532356,-0.24024831977431776,-0.33083248526263476,Cooperative,Neutral
GRAVITY,TTK,-0.856665692,-0.6154536071843297,-0.7995398717642783,Destabilizing,Destabilizing
GRAVITY,HERPUD1,0.130659543,0.5733362500690593,0.6854994008406783,Neutral,Cooperative
GRAVITY,GRINA,0.359422907,0.44676593585805624,0.5273874467367288,Neutral,Cooperative
GRAVITY,LIF,0.465595777,0.4838543109081457,0.5737183379118413,Neutral,Cooperative
GRAVITY,ZNF512B,0.204238892,0.43916708406420496,0.5178949420087307,Neutral,Cooperative
GRAVITY,SYNE2,-0.531402444,-0.634385875769223,-0.8231901091855747,Destabilizing,Destabilizing
GRAVITY,ZNF462,-0.093667752,-0.4981980912270761,-0.6530639870117022,Neutral,Destabilizing
GRAVITY,DENND5A,0.718964773,-0.17553569219825957,-0.24999330851701662,Cooperative,Neutral
GRAVITY,CCDC85C,0.268461982,-0.2852777645596411,-0.3870833806768176,Neutral,Neutral
GRAVITY,CCDC14,-0.425627931,-0.3633402736488194,-0.4845992629062885,Neutral,Neutral
CellDancer,CDK1,-0.846030818,0.9877894716332821,0.7510305004250786,Destabilizing,Cooperative
CellDancer,RTKN2,-0.724452429,0.6546554930161173,0.4701343435141878,Destabilizing,Neutral
CellDancer,MELK,-0.422408521,-0.0778715447897011,-0.14752714693808378,Neutral,Neutral
CellDancer,AURKB,-0.797834383,-0.9650215553976406,-0.8955656076728311,Destabilizing,Destabilizing
